Name,isTF
ZNF85,Yes
ZNF850,Yes
ZNF852,Yes
ZNF853,Yes
ZNF860,Yes
ZNF865,Yes
ZNF878,Yes
ZNF879,Yes
ZNF880,Yes
ZNF883,Yes
ZNF888,Yes
ZNF891,Yes
ZNF90,Yes
ZNF91,Yes
ZNF92,Yes
ZNF93,Yes
ZNF98,Yes
ZNF99,Yes
ZSCAN1,Yes
ZSCAN10,Yes
ZSCAN12,Yes
ZSCAN16,Yes
ZSCAN18,Yes
ZSCAN2,Yes
ZSCAN20,Yes
ZSCAN21,Yes
ZSCAN22,Yes
ZSCAN23,Yes
ZSCAN25,Yes
ZSCAN26,Yes
ZSCAN29,Yes
ZSCAN30,Yes
ZSCAN31,Yes
ZSCAN32,Yes
ZSCAN4,Yes
ZSCAN5A,Yes
ZSCAN5B,Yes
ZSCAN5C,Yes
ZSCAN5DP,No
ZSCAN9,Yes
ZUFSP,Yes
ZXDA,Yes
ZXDB,Yes
ZXDC,Yes
PATZ1,Yes
ZBTB24,Yes
ZNF524,Yes
ZNF653,Yes
ZNF277,Yes
ZNF512,Yes
ZEB1,Yes
ZEB2,Yes
ZFHX3,Yes
ZFHX4,Yes
TRERF1,Yes
ZNF541,Yes
NFYA,Yes
CPSF4,No
CPSF4L,No
DHX57,No
DUS3L,No
HELZ,No
MBNL1,No
MBNL2,Yes
MBNL3,No
MKRN1,No
MKRN2,No
NUPL2,No
PARP12,No
PPP1R10,No
PRR3,No
RC3H1,No
RC3H2,No
RNF113A,No
RNF113B,No
TOE1,No
TRMT1,No
UNK,No
UNKL,No
ZC3H10,No
ZC3H11A,No
ZC3H12A,No
ZC3H13,No
ZC3H14,No
ZC3H15,No
ZC3H18,No
ZC3H3,No
ZC3H4,No
ZC3H6,No
ZC3H7A,No
ZC3H7B,No
ZC3H8,Yes
ZC3HAV1,No
ZFP36,No
ZFP36L1,No
ZFP36L2,No
ZGPAT,Yes
ZMAT5,No
ZRSR1,No
ZRSR2,No
CENPB,Yes
CENPBD1,Yes
JRK,Yes
JRKL,Yes
TIGD1,Yes
TIGD2,Yes
TIGD3,Yes
TIGD4,Yes
TIGD5,Yes
TIGD6,Yes
TIGD7,Yes
CAMTA1,Yes
CAMTA2,Yes
CARHSP1,No
CSDC2,No
CSDE1,No
LIN28A,Yes
LIN28B,Yes
YBX1,Yes
YBX2,Yes
YBX3,Yes
RBPJ,Yes
RBPJL,Yes
CUX1,Yes
CUX2,Yes
ONECUT1,Yes
ONECUT2,Yes
ONECUT3,Yes
SATB1,Yes
SATB2,Yes
CXXC1,Yes
CXXC4,Yes
CXXC5,Yes
DNMT1,Yes
FBXL19,Yes
KDM2A,Yes
KDM2B,Yes
TET1,Yes
TET3,Yes
KMT2A,Yes
KMT2B,Yes
DMRT1,Yes
DMRT2,Yes
DMRT3,Yes
DMRTA1,Yes
DMRTA2,Yes
DMRTB1,Yes
DMRTC2,Yes
E2F1,Yes
E2F2,Yes
E2F3,Yes
E2F4,Yes
E2F5,Yes
E2F6,Yes
E2F7,Yes
E2F8,Yes
TFDP1,Yes
TFDP2,Yes
TFDP3,Yes
EBF1,Yes
EBF2,Yes
EBF3,Yes
EBF4,Yes
EHF,Yes
ELF1,Yes
ELF2,Yes
ELF4,Yes
ELF5,Yes
ELK1,Yes
ELK3,Yes
ELK4,Yes
ERF,Yes
ERG,Yes
ETS1,Yes
ETS2,Yes
ETV1,Yes
ETV2,Yes
ETV3,Yes
ETV3L,Yes
ETV4,Yes
ETV5,Yes
ETV6,Yes
ETV7,Yes
FEV,Yes
FLI1,Yes
GABPA,Yes
SPDEF,Yes
SPI1,Yes
SPIB,Yes
SPIC,Yes
ELF3,Yes
FLYWCH1,Yes
FOXA1,Yes
FOXA2,Yes
FOXA3,Yes
FOXB1,Yes
FOXB2,Yes
FOXC1,Yes
FOXC2,Yes
FOXD1,Yes
FOXD2,Yes
FOXD3,Yes
FOXD4,Yes
FOXD4L1,Yes
FOXD4L2,No
FOXD4L3,Yes
FOXD4L4,Yes
FOXD4L5,Yes
FOXD4L6,Yes
FOXE1,Yes
FOXE3,Yes
FOXF1,Yes
FOXF2,Yes
FOXG1,Yes
FOXH1,Yes
FOXI1,Yes
FOXI2,Yes
FOXI3,Yes
FOXJ1,Yes
FOXJ2,Yes
FOXJ3,Yes
FOXK1,Yes
FOXK2,Yes
FOXL1,Yes
FOXL2,Yes
FOXM1,Yes
FOXN1,Yes
FOXN2,Yes
FOXN3,Yes
FOXN4,Yes
FOXO1,Yes
FOXO3,Yes
FOXO4,Yes
FOXO6,Yes
FOXP1,Yes
FOXP2,Yes
FOXP3,Yes
FOXP4,Yes
FOXQ1,Yes
FOXR1,Yes
FOXR2,Yes
FOXS1,Yes
ZFYVE26,No
GATA1,Yes
GATA2,Yes
GATA3,Yes
GATA4,Yes
GATA5,Yes
GATA6,Yes
GATAD1,No
GATAD2A,Yes
GATAD2B,Yes
TRPS1,Yes
ZGLP1,Yes
GCM1,Yes
GCM2,Yes
GRHL1,Yes
GRHL2,Yes
GRHL3,Yes
TFCP2,Yes
TFCP2L1,Yes
UBP1,Yes
GTF2I,Yes
GTF2IRD1,Yes
GTF2IRD2,Yes
GTF2IRD2B,Yes
AC105001.2,No
BBX,Yes
CCDC124,No
CHD3,No
CHD4,No
CIC,Yes
HBP1,Yes
HMG20A,Yes
HMG20B,Yes
HMGB1,No
HMGB2,No
HMGB3,No
HMGB4,No
HMGN1,No
HMGN3,Yes
HMGXB3,No
HMGXB4,No
KMT2C,No
KMT2D,No
LEF1,Yes
MAEL,No
NSD2,No
PBRM1,No
PMS1,No
SMARCE1,No
SOX1,Yes
SOX10,Yes
SOX11,Yes
SOX12,Yes
SOX13,Yes
SOX14,Yes
SOX15,Yes
SOX17,Yes
SOX18,Yes
SOX2,Yes
SOX21,Yes
SOX3,Yes
SOX30,Yes
SOX4,Yes
SOX5,Yes
SOX6,Yes
SOX7,Yes
SOX8,Yes
SOX9,Yes
SRY,Yes
SSRP1,No
TCF7,Yes
TCF7L1,Yes
TCF7L2,Yes
TFAM,No
TOX,No
TOX2,No
TOX3,No
TOX4,No
UBTF,No
UBTFL1,No
WDHD1,No
BHMG1,No
ADNP,Yes
ADNP2,Yes
ALX1,Yes
ALX3,Yes
ALX4,Yes
ANHX,Yes
ARGFX,Yes
ARX,Yes
BARHL1,Yes
BARHL2,Yes
BARX1,Yes
BARX2,Yes
BSX,Yes
CDX1,Yes
CDX2,Yes
CDX4,Yes
CERS2,No
CERS3,No
CERS4,No
CERS5,No
CERS6,No
CRX,Yes
DBX1,Yes
DBX2,Yes
DLX1,Yes
DLX2,Yes
DLX3,Yes
DLX4,Yes
DLX5,Yes
DLX6,Yes
DMBX1,Yes
DPRX,Yes
DRGX,Yes
DUX1,Yes
DUX3,Yes
DUX4,Yes
DUXA,Yes
EMX1,Yes
EMX2,Yes
EN1,Yes
EN2,Yes
ESX1,Yes
EVX1,Yes
EVX2,Yes
GBX1,Yes
GBX2,Yes
GSC,Yes
GSC2,Yes
GSX1,Yes
GSX2,Yes
HDX,Yes
HESX1,Yes
HHEX,Yes
HLX,Yes
HMBOX1,Yes
HMX1,Yes
HMX2,Yes
HMX3,Yes
HNF1A,Yes
HNF1B,Yes
HOMEZ,Yes
HOPX,No
HOXA1,Yes
HOXA10,Yes
HOXA11,Yes
HOXA13,Yes
HOXA2,Yes
HOXA3,Yes
HOXA4,Yes
HOXA5,Yes
HOXA6,Yes
HOXA7,Yes
HOXA9,Yes
HOXB1,Yes
HOXB13,Yes
HOXB2,Yes
HOXB3,Yes
HOXB4,Yes
HOXB5,Yes
HOXB6,Yes
HOXB7,Yes
